"ID","人物名","読み","動画タイトル","動画URL","生年","没年","時代","国","関連事件","関連キーワード","役割","テーマ","要約"
"lamballe","ランバル公妃","らんばるこうひ","【マリー・アントワネット臣下】ランバル公妃【ゆっくり解説】","https://www.youtube.com/watch?v=W9dXvavnt28","1749","1792","近代","フランス","フランス革命; 九月虐殺","マリー・アントワネット; ルイ16世; サヴォイア家","寵臣","フランス革命; ブルボン朝","サヴォイア家出身の王妃の親友。マリー・アントワネットを最後まで支え続け、九月虐殺で群衆に惨殺された。その忠節は革命期の悲劇の象徴。"
"josephine","ジョゼフィーヌ","じょぜふぃーぬ","【ナポレオン1世皇妃】ジョゼフィーヌ・ド・ボーアルネー【ゆっくり解説】","https://www.youtube.com/watch?v=hRhmlOnoDwg","1763","1814","近代","フランス","ナポレオン戦争; フランス革命; 皇帝戴冠","ナポレオン1世; 皇帝戴冠式; ボーアルネー; マルメゾン","皇妃","フランス革命; ナポレオン戦争","ナポレオン・ボナパルトの最初の妻にして初代フランス皇妃。革命で前夫を失ったクレオール出身の女性で、ナポレオンに深く愛されたが、世継ぎを産めず離婚された。"
"marie_louise","マリー・ルイーズ・ドートリッシュ","まりー・るいーず・どーとりっしゅ","【ナポレオン1世皇后】マリー・ルイーズ・ドートリッシュ【ゆっくり解説】","https://www.youtube.com/watch?v=VbWiZqg6xyo","1791","1847","近代","フランス・オーストリア","ナポレオン戦争; ウィーン会議","ナポレオン1世; ナポレオン2世; ハプスブルク家; パルマ公国","皇后","ナポレオン戦争; ハプスブルク家","オーストリア皇女としてナポレオンの2番目の妃に。ナポレオン2世（ライヒシュタット公）を産むが、夫の没落後はパルマ女公として独自の生涯を歩んだ。"
"ekaterina2","エカチェリーナ2世","えかちぇりーなにせい","【女帝の中の女帝！】エカチェリーナ2世【再編集版】【ゆっくり解説】","https://www.youtube.com/watch?v=rak3_r11lxI","1729","1796","近世","ロシア","七年戦争; プガチョフの乱; ポーランド分割","ピョートル3世; エカチェリーナ1世; ヴォルテール; 啓蒙専制君主","女帝","啓蒙絶対主義; ロマノフ朝","ドイツ生まれのロシア女帝。夫ピョートル3世を追放してクーデターで即位、啓蒙専制君主として領土拡大とポーランド分割を推進。ロシア最盛期を築いた「大帝」。"
"ekaterina1","エカチェリーナ1世","えかちぇりーないっせい","【洗濯婦から皇妃、女帝となったシンデレラ】エカチェリーナ1世【ゆっくり解説】","https://www.youtube.com/watch?v=vIVO2-yyuNY","1684","1727","近世","ロシア","北方戦争; ロシアの近代化","ピョートル1世; ロマノフ朝; サンクトペテルブルク","女帝","ロマノフ朝","リヴォニアの農家出身、洗濯婦から皇帝ピョートル大帝の后へと出世したシンデレラ。夫の死後、ロシア初の女帝として即位した。"
"victoria","ヴィクトリア女王","ゔぃくとりあじょおう","ヴィクトリア女王【ゆっくり解説】","https://www.youtube.com/watch?v=BkRpFWDbAtU","1819","1901","近代","イギリス","産業革命; ヴィクトリア朝; クリミア戦争; アヘン戦争; 大英帝国全盛","アルバート公; インド皇帝; パクス・ブリタニカ; ハノーヴァー朝","女王","大英帝国","60年以上の長期在位を誇るイギリス女王。「君臨すれども統治せず」の伝統を確立し、産業革命と大英帝国の最盛期「ヴィクトリア朝」を体現した。9人の子を欧州諸王家に嫁がせ「ヨーロッパの祖母」と呼ばれた。"
"queen_anne","アン女王","あんじょおう","イングランド女王アン【ゆっくり解説】","https://www.youtube.com/watch?v=GQCy7-xpXEQ","1665","1714","近世","イングランド・スコットランド","スペイン継承戦争; イングランドとスコットランドの合同; アン女王戦争","スチュアート朝; ハノーヴァー朝; マールバラ公; グレートブリテン王国成立","女王","スチュアート朝","ステュアート朝最後の君主。1707年にイングランドとスコットランドを統合してグレートブリテン王国を成立させた。スペイン継承戦争の対外戦争を戦い抜いた。"
"mary2","メアリー2世","めありーにせい","【イギリス女王】メアリー2世【ゆっくり解説】","https://www.youtube.com/watch?v=q8D0EAYE2bg","1662","1694","近世","イングランド","名誉革命; 権利章典","ウィリアム3世; ジェームズ2世; スチュアート朝","女王","名誉革命","1688年の名誉革命でカトリック父ジェームズ2世を追放し、夫オラニエ公ウィリアム3世とともにイギリスの共同統治者となった女王。立憲君主制の礎を築いた。"
"livia","リウィア・ドルシッラ","りうぃあ・どるしっら","【アウグストゥス帝皇后】リウィア・ドルシッラ【ゆっくり解説】","https://www.youtube.com/watch?v=TvH-Mg-ZgpM","前58","29","古代ローマ","ローマ帝国","ローマ帝政; ユリウス・クラウディウス朝","アウグストゥス; ティベリウス; オクタウィアヌス; クラウディウス","皇后","古代ローマ; 皇帝政治","ローマ帝国の初代皇帝アウグストゥスの妃。先帝の妻だったが略奪婚で皇后となり、夫の死後は息子ティベリウスを帝位につけて影で帝国を支配した古代の女傑。"
"theodora","テオドラ","ておどら","【ユスティニアヌス1世皇后】テオドラ【ゆっくり解説】","https://www.youtube.com/watch?v=VitPzL13J5Y","c.500","548","東ローマ帝国","東ローマ帝国","ニカの乱; ユスティニアヌス法典; ハギア・ソフィア再建","ユスティニアヌス1世; ビザンツ帝国; ローマ法大全","皇后","ビザンツ帝国","踊り子から東ローマ皇后となった女性。532年のニカの乱で逃げようとする夫ユスティニアヌス1世を「皇衣は最良の死装束」の名言で励まし、帝国を救った。"
"irene","エイレーネ","えいれーね","【東ローマ帝国皇帝】エイレーネ【ゆっくり解説】","https://www.youtube.com/watch?v=HgOhjVuo7Kc","752","803","東ローマ帝国","東ローマ帝国","第二ニカイア公会議; 聖像崇拝復活","コンスタンティノス6世; 聖像破壊運動; イコン","女帝","ビザンツ帝国","東ローマ帝国史上初の女帝。聖像崇拝を復活させた第二ニカイア公会議を主導。我が子コンスタンティノス6世の目を潰して帝位を簒奪した冷徹な統治者。"
"adelheid","アーデルハイト・フォン・ブルグント","あーでるはいと・ふぉん・ぶるぐんと","【神聖ローマ帝国最初の皇后】アーデルハイト・フォン・ブルグント【ゆっくり解説】","https://www.youtube.com/watch?v=X7hQomyHNFs","931","999","中世前期","神聖ローマ帝国","神聖ローマ帝国成立; オットー大帝戴冠","オットー1世; オットー2世; オットー3世; ローマ帝戴冠","皇后","神聖ローマ帝国","オットー1世の后として962年の戴冠とともに神聖ローマ帝国最初の皇后に。皇帝3代を見届け、孫のオットー3世に教皇庁との関係を遺した。死後カトリック教会で列聖。"
"isabella_france","イザベラ・オブ・フランス","いざべら・おぶ・ふらんす","【王妃の苛烈な復讐劇】イザベラ・オブ・フランス【ゆっくり解説】【リニューアル版】","https://www.youtube.com/watch?v=AvlrfmWCG5I","1295","1358","中世末期","フランス・イングランド","百年戦争; 百年戦争前夜","エドワード2世; エドワード3世; フィリップ4世; ロジャー・モーティマー; 雌狼","王妃","百年戦争","フランス王フィリップ4世の娘でイングランド王エドワード2世の王妃。夫の同性愛人寵愛に耐えかね、愛人モーティマーと夫を廃位。子エドワード3世のフランス王位継承権主張が百年戦争の遠因に。"
"joan_navarre","ジョーン・オブ・ナヴァール","じょーん・おぶ・なゔぁーる","【ヘンリー4世王妃】ジョーン・オブ・ナヴァール","https://www.youtube.com/watch?v=JOmPkFSiBCE","c.1370","1437","中世末期","ナバラ・イングランド","百年戦争","ヘンリー4世; ジャン4世; ランカスター朝","王妃","百年戦争; ランカスター朝","ナバラ王女からブルターニュ公妃を経てイングランド王ヘンリー4世の王妃に。継子ヘンリー5世の時代に魔術の罪で幽閉されるも、後に名誉回復された波乱の生涯。"
"anne_bretagne","アンヌ・ド・ブルターニュ","あんぬ・ど・ぶるたーにゅ","【シャルル8世・ルイ12世王妃】アンヌ・ド・ブルターニュ【ゆっくり解説】","https://www.youtube.com/watch?v=9A2SQRO1RoU","1477","1514","中世末期","フランス","フランス王国の統一; イタリア戦争","シャルル8世; ルイ12世; ブルターニュ公国; クロード王女","女公・王妃","ヴァロワ朝","ブルターニュ女公として独立を守ろうとしたが、フランス王シャルル8世、続いてルイ12世と結婚。彼女の死後ブルターニュはフランスに併合され、フランス王国の統一を完成させた最後の独立公女。"
"lucrezia","ルクレツィア・ボルジア","るくれつぃあ・ぼるじあ","【再編集版】ルクレツィア・ボルジア【ゆっくり解説】","https://www.youtube.com/watch?v=Y5F5cP_vpOo","1480","1519","ルネサンス","イタリア","イタリア戦争; イタリア・ルネサンス","教皇アレクサンデル6世; チェーザレ・ボルジア; アルフォンソ・デステ; ボルジア家","公妃","ルネサンス; イタリア戦争","教皇アレクサンデル6世の娘で兄チェーザレ・ボルジアの妹。父と兄の政略で3度結婚させられ、毒殺・近親愛の噂を背負った。最終的にフェラーラ公妃として落ち着き、文化人として尊敬を集めた。"
"caterina_sforza","カテリーナ・スフォルツァ","かてりーな・すふぉるつぁ","カテリーナ・スフォルツァ【ゆっくり解説】","https://www.youtube.com/watch?v=RZax3pO8txU","1463","1509","ルネサンス","イタリア","イタリア戦争; イタリア・ルネサンス","フォルリ女領主; チェーザレ・ボルジア; ジョバンニ・ダッレ・バンデ・ネーレ; メディチ家","女領主","ルネサンス; イタリア戦争","ミラノ公の庶子からフォルリ伯妃となり、夫の死後は自ら城を守った「ルネサンス最強の女傑」。チェーザレ・ボルジアの侵攻に抗戦して捕らえられ、後にメディチ家に再嫁。"
"beatrice_este","ベアトリーチェ・デステ","べあとりーちぇ・ですて","ベアトリーチェ・デステ【ゆっくり解説】","https://www.youtube.com/watch?v=SCbeGLF9lyw","1475","1497","ルネサンス","イタリア","イタリア戦争; イタリア・ルネサンス","ルドヴィーコ・スフォルツァ; ミラノ公国; レオナルド・ダ・ヴィンチ; イザベラ・デステ","公妃","ルネサンス","ミラノ公ルドヴィーコ・スフォルツァの妃。レオナルド・ダ・ヴィンチを後援し、ミラノ宮廷を欧州最高の文化中心に。22歳の若さで産褥死し、夫の没落の引き金となった。"
"isabella_este","イザベラ・デステ","いざべら・ですて","【フランチェスコ2世妃】イザベラ・デステ【ゆっくり解説】","https://www.youtube.com/watch?v=hYDgdpDA2MA","1474","1539","ルネサンス","イタリア","イタリア戦争; イタリア・ルネサンス","マントヴァ侯; ベアトリーチェ・デステ; ラファエロ; ティツィアーノ","侯妃","ルネサンス","ベアトリーチェ・デステの姉でマントヴァ侯フランチェスコ2世の妃。「ルネサンスの第一の貴婦人」と称され、ティツィアーノら多数の芸術家を後援した文化サロンの主。"
"huerrem","ヒュッレム・ハセキ・スルタン","ひゅっれむ・はせき・するたん","【奴隷から皇后へ】スレイマン1世皇后ヒュッレム・ハセキ・スルタン【ゆっくり解説】","https://www.youtube.com/watch?v=ey0biPseEwo","c.1502","1558","近世","オスマン帝国","オスマン帝国全盛期; ハレムの女人天下","スレイマン1世; セリム2世; ロクセラーナ; ハーレム","皇后","オスマン帝国","ウクライナで奴隷となり、オスマン帝国全盛期の皇帝スレイマン1世に寵愛され正妃にまで上り詰めた女性。「ロクセラーナ」の名で欧州にも知られ、後の「女人天下時代」の先駆け。"
"kosem","キョセム・スルタン","きょせむ・するたん","【アフメト1世妃】キョセム・スルタン【ゆっくり解説】","https://www.youtube.com/watch?v=V3VTRb22XGo","c.1589","1651","近世","オスマン帝国","オスマン帝国全盛期; ハレムの女人天下","アフメト1世; ムラト4世; イブラヒム1世; メフメト4世","皇后・摂政","オスマン帝国","アフメト1世の妃から、息子ムラト4世・イブラヒム1世、孫メフメト4世の3代にわたって摂政を務めたオスマン帝国の「女人天下時代」を象徴する女性。最後は孫の妃に暗殺された。"
"marguerite_valois","マルグリット・ド・ヴァロワ","まるぐりっと・ど・ゔぁろわ","【恋多き王妃】アンリ4世王妃マルグリット･ド・ヴァロワ【ゆっくり解説】","https://www.youtube.com/watch?v=gIi2z7Sqw-0","1553","1615","近世","フランス","ユグノー戦争; サンバルテルミの虐殺","アンリ4世; カトリーヌ・ド・メディシス; ヴァロワ朝; ナント勅令","王妃","ユグノー戦争","アンリ2世とカトリーヌ・ド・メディシスの娘。ユグノーのアンリ・ド・ナヴァール（後のアンリ4世）との結婚祝典がサンバルテルミの虐殺の発端に。「ラ・レーヌ・マルゴ」として小説・映画で有名。"
"anne_denmark","アン・オブ・デンマーク","あん・おぶ・でんまーく","【ジェームズ1世王妃】アン・オブ・デンマーク【ゆっくり解説】","https://www.youtube.com/watch?v=EuWfhqTDe_0","1574","1619","近世","イングランド・スコットランド","ステュアート朝成立; 三十年戦争前夜","ジェームズ1世; チャールズ1世; デンマーク王女","王妃","ステュアート朝","デンマーク王女からジェームズ1世（イングランド王・スコットランド王）の王妃に。チャールズ1世の母として、後のピューリタン革命に至る波乱の血脈を残した。"
"maria_eleonora","マリア・エレオノーラ","まりあ・えれおのーら","【ヤンデレ王妃】グスタフ2世王妃マリア・エレオノーラ【ゆっくり解説】","https://www.youtube.com/watch?v=DGlurRcrkgI","1599","1655","近世","スウェーデン","三十年戦争; リュッツェンの戦い","グスタフ2世アドルフ; クリスティーナ女王; ブランデンブルク選帝侯","王妃","三十年戦争","ブランデンブルクから三十年戦争の英雄グスタフ2世アドルフに嫁いだスウェーデン王妃。リュッツェンで戦死した夫の遺体を1年以上手放せなかった愛情の深さで知られる。クリスティーナ女王の母。"
"anne_marie","アンヌ・マリー・ルイーズ・ドルレアン","あんぬ・まりー・るいーず・どるれあん","【さすがあの姫君の姉！】アンヌ・マリー・ルイーズ・ドルレアン【ゆっくり解説】","https://www.youtube.com/watch?v=NeNTd9Iav14","1627","1693","近世","フランス","フロンドの乱","ルイ14世; ガストン・ドルレアン; グランド・マドモワゼル","王女","ブルボン朝","ルイ13世の弟ガストンの娘で、フランス史上最大の遺産相続人。フロンドの乱で大砲を撃って従弟ルイ14世に対抗、生涯独身を貫いた「グランド・マドモワゼル」。"
"mary_modena","メアリー・オブ・モデナ","めありー・おぶ・もでな","【ジェームズ2世王妃】メアリー・オブ・モデナ【ゆっくり解説】","https://www.youtube.com/watch?v=NE1ZRl98DKM","1658","1718","近世","イングランド","名誉革命; ジャコバイト運動","ジェームズ2世; ジェームズ・フランシス・エドワード; ステュアート朝","王妃","名誉革命","イタリア・モデナ公国の姫からジェームズ2世の王妃に。男児を産んだ直後に名誉革命でフランスに亡命、フランスでステュアート朝復興運動（ジャコバイト）の中心となった。"
"elizaveta_p","エリザヴェータ・ペトロヴナ","えりざゔぇーた・ぺとろゔな","【自分より美しい女は許さない⁉】ロシア女帝エリザヴェータ・ペトロヴナ【ゆっくり解説】","https://www.youtube.com/watch?v=S3czJu0rjgM","1709","1762","近世","ロシア","七年戦争; オーストリア継承戦争","ピョートル1世; ピョートル3世; エカチェリーナ2世; エリザベート時代","女帝","ロマノフ朝; 啓蒙絶対主義","ピョートル大帝とエカチェリーナ1世の娘。クーデターで即位し、七年戦争でプロイセンのフリードリヒ2世を追い詰めるが、急死により情勢が逆転。ロシア・バロック文化の最盛期を築いた。"
"maria_carolina","マリア・カロリーナ","まりあ・かろりーな","【マリー・アントワネットの姉】マリア・カロリーナ【ゆっくり解説】","https://www.youtube.com/watch?v=f9ka05QukDM","1752","1814","近代","ナポリ・両シチリア王国","フランス革命; ナポレオン戦争","フェルディナンド1世; マリー・アントワネット; マリア・テレジア; ネルソン提督","王妃","フランス革命; ナポレオン戦争","マリア・テレジアの娘でマリー・アントワネットの姉。ナポリ＝両シチリア王国王妃として実質的に国政を握り、ナポレオンに激しく抵抗。妹の処刑後はフランスへの憎しみで対仏戦争を主導した。"
"maria_luisa","マリア・ルイサ","まりあ・るいさ","【カルロス4世王妃】マリア・ルイサ【ゆっくり解説】","https://www.youtube.com/watch?v=7ecl9upQ4Jk","1751","1819","近代","スペイン","ナポレオン戦争; スペイン独立戦争","カルロス4世; ゴドイ; フェルナンド7世; ゴヤ","王妃","ナポレオン戦争","スペイン王カルロス4世の王妃。寵臣ゴドイに国政を任せて宮廷を腐敗させ、ナポレオンの侵攻を招いた「スペイン没落の女王」。ゴヤの裸の容赦ない肖像画で知られる。"
"alexandra_f","アレクサンドラ・フョードロヴナ","あれくさんどら・ふょーどろゔな","【ニコライ1世皇后】アレクサンドラ・フョードロヴナ【ゆっくり解説】","https://www.youtube.com/watch?v=61cJG71sW9g","1798","1860","近代","ロシア","デカブリストの乱; ナポレオン戦争","ニコライ1世; アレクサンドル2世; プロイセン; ロマノフ朝","皇后","ロマノフ朝","プロイセン王女からロシア皇帝ニコライ1世の皇后に。1825年のデカブリストの乱直後の即位で動揺の中、敬愛される皇后として帝室を支えた。アレクサンドル2世の母。"
"elizaveta_f","エリザヴェータ・フョードロヴナ","えりざゔぇーた・ふょーどろゔな","エリザヴェータ・フョードロヴナ","https://www.youtube.com/watch?v=0OMHyVOndhg","1864","1918","近代","ロシア","ロシア革命; 血の日曜日事件","セルゲイ大公; ニコライ2世; アレクサンドラ皇后; ロマノフ朝; ボリシェヴィキ","大公妃・修道女","ロシア革命","ヘッセン大公女で英ヴィクトリア女王の孫娘。ロシア皇族セルゲイ大公の妃に。夫がテロで暗殺された後、修道女となって慈善活動に身を捧げたが、ロシア革命でボリシェヴィキに殺害された。"
"marg_austria","マルゲリータ・ダウストリア","まるげりーた・だうすとりあ","【カール5世（カルロス1世）の娘】マルゲリータ・ダウストリア","https://www.youtube.com/watch?v=u8Iqpm8Thpc","1522","1586","近世","ハプスブルク","ネーデルラント独立戦争","カール5世; フェリペ2世; アレッサンドロ・ファルネーゼ; ネーデルラント","総督","ハプスブルク家; 宗教戦争","カール5世（カルロス1世）の庶子。フェリペ2世によりネーデルラント総督に任じられ、プロテスタント反乱の鎮圧に苦慮。ネーデルラント独立戦争（八十年戦争）の発端期に重要な役割。"

"フィリップドロレーヌ","フィリップ・ド・ロレーヌ","ふぃりっぷ・ど・ろれーぬ","【フィリップ1世愛妾(男)】フィリップ・ド・ロレーヌ【ゆっくり解説】","https://www.youtube.com/watch?v=5bifrpUSREE","","","中世前期","フランス","","フィリップ1世; カペー朝","愛妾（男性）","カペー朝","フランス王フィリップ1世に寵愛された男性貴族。「乙女フィリップ」と称される恋物語の主人公。妻子がありながら国王の寵愛を受けた。"
